positive	yaar aaj ka din ekdum mast tha, maza aa gaya 😄
positive	bhai tu toh legend nikla, sach mein kamaal kar diya 🔥
positive	thank you so much yaar, tune meri bahut help ki ❤️
positive	mummy ne aaj mere favourite rajma chawal banaye, best din ever 😋
positive	congratulations bro!! tujhe job mil gayi, so happy for you 🎉
positive	shukriya dost, tere bina yeh possible nahi tha 🙏
positive	wah kya match tha, last over mein jeet gaye 🥳🥳
positive	dil khush ho gaya tera message padh ke, love you yaar 😍
positive	movie zabardast thi, full paisa vasool, must watch!!
positive	aaj office mein promotion mil gaya, party meri taraf se 🎊
positive	bahut acha laga tumse milke, we should hang out more often
positive	lmao that meme killed me 😂😂 send more
positive	tera birthday plan sahi hai, sab log aa rahe hain, mazaa aayega 🎂
positive	proud of you beta, tumne bahut mehnat ki thi
positive	haan bhai bilkul, main aa raha hoon, excited hoon 😎
positive	great job team!! sab kuch perfectly hua, well done 👏
positive	kal ki trip ekdum badhiya rahi, photos dekh ke maza aa gaya
positive	you're the best, seriously. thanks for always being there 🥺❤️
positive	shabash mere sher, aise hi chalte reh 💪
positive	aww that is so sweet of you, thank you!! 🌷
positive	bhai teri shaadi mubarak ho!!! bahut bahut badhai 🎉
positive	relief hai finally, sab theek ho gaya, thank god 🙏
positive	haha tu pagal hai yaar, but I love you for it 😂❤️
positive	aaj mausam mast hai, chal chai peene chalte hain ☕😊
positive	sabse acha dost mila hai mujhe tere jaisa, gratitude
positive	that was hilarious 💀💀 I can't breathe
positive	tera gaana sunke rongte khade ho gaye, bahut acha gaya tune 🔥
positive	yay!! exam khatam, ab toh ghumne chalenge 🥳
positive	good morning bhai, aaj ka din tera hai, all the best 👍
positive	kya baat hai!! ekdum jhakaas photo hai ye 😍
positive	dhanyavaad sir, aapki wajah se hi hua hai ye sab
positive	so glad you came, it wouldn't have been the same without you
positive	tu chinta mat kar, main hoon na, sab sambhal lunga 🤗
positive	lol dead 😭😭 this is too funny
positive	bro that biryani was insane, best meal I've had in months 😭🔥
positive	maa ne bola tu bahut acha kar raha hai, I'm so happy 😊
positive	amazing work as always, keep it up!
positive	sahi hai bhai, mast plan hai, main pakka aunga
positive	tum log ne surprise diya, I'm literally crying 😭❤️ thank you
positive	kal se gym shuru, feeling motivated af 💪
positive	badhiya!! bilkul mast, mujhe pasand aaya
positive	wohoo weekend aa gaya, chill karte hain 🎶
positive	dost ho toh aisa, hamesha saath rehta hai 🥰
positive	the concert was epic, still got goosebumps 🔥🔥
positive	sun, tera din acha jaye, take care and eat something 🌸
positive	shandaar performance!! standing ovation 👏👏
positive	bhai maza aa gaya aaj, thanks for the amazing night
positive	so excited for tomorrow, can't wait!! 😁
positive	dadi ne aashirwad diya, ab sab acha hoga 🙏😊
positive	tere jaisa koi nahi hai yaar, seriously you make everything better
positive	haan haan chal, treat meri taraf se, aaj khushi ka din hai 🍕
negative	yaar bahut tension ho rahi hai, kal interview hai aur kuch aata nahi 😭
negative	main bahut pareshan hoon, kuch samajh nahi aa raha kya karun
negative	yeh bilkul bakwaas movie thi, paise barbaad ho gaye 🙄
negative	mujhe bahut gussa aa raha hai, usne phir se jhooth bola 😤
negative	i feel so alone today, koi baat nahi karta mujhse 🥺
negative	tumne mera dil tod diya, ab mujhse baat mat karna
negative	mera mood ekdum kharab hai yaar, sab kuch galat ho raha hai
negative	bhai tu mera call kyun nahi utha raha, tab se tension mein hoon 😰
negative	worst service ever, khana thanda tha aur waiter rude tha 😡
negative	I'm so tired of everything, kuch acha nahi lagta ab
negative	papa ki tabiyat kharab hai, darr lag raha hai bahut
negative	mujhe kabhi nahi pata tha tu aisa nikalega, disappointed hoon
negative	aaj bahut bura din tha, boss ne sabke saamne daant diya 😞
negative	yaar please meri baat sun, main sach mein bahut ghabra gaya hoon
negative	phone toot gaya, ab naya lena padega, barbaad ho gaya mahina 😭
negative	stop lying to me, mujhe sab pata hai, tumne dhoka diya
negative	I can't do this anymore, bahut thak gaya hoon yaar
negative	kitna irritating hai yeh banda, har baar same faltu baatein
negative	result kharab aaya, ab ghar pe kya bolunga, darr lag raha hai 😨
negative	meri koi value hi nahi hai tumhare liye, itna bhi nahi samajhte
negative	udaas hoon aaj, na jaane kyun rona aa raha hai
negative	that was so rude of him, I'm honestly really upset 😒
negative	bekaar hai yeh app, baar baar crash hota hai, uninstall kar diya
negative	I'm scared about the results, mera dil bahut tez dhadak raha hai
negative	tune promise kiya tha aur phir bhi nahi aaya, bahut bura laga
negative	fever hai aur sar dard bhi, bilkul acha nahi feel ho raha 🤒
negative	nobody cares about me here, sab apne mein busy hain
negative	kitni ganda traffic hai, do ghante se fasa hoon, pagal ho jaunga 😤
negative	aaj phir late ho gaya, manager ne warning de di, so stressed
negative	tumse yeh umeed nahi thi, sharam aati hai mujhe
negative	I regret saying that, ab woh naraaz hai mujhse, kya karun 😔
negative	kuch bhi theek nahi ho raha, sab kuch bikhar gaya hai
negative	sab log jhoote hain, kisi pe bharosa nahi raha ab
negative	bhai please help kar, yeh problem solve nahi ho rahi, main frustrated hoon
negative	she ignored my texts again and I'm feeling so low 🥺
negative	itna bura khana, ek bite mein hi mood kharab ho gaya 🤢
negative	my heart is racing, kuch galat hone wala hai, mujhe pata hai 😭
negative	tu hamesha late aata hai, mujhe bilkul pasand nahi yeh
negative	dukh hua sunke, uske saath bahut galat hua, so sad
negative	kal ka paper itna mushkil tha ki main toh ro pada 😭
negative	yaar mera bahut nuksaan ho gaya, sab paisa doob gaya
negative	bohot gussa hoon main tumse, aaj se koi baat nahi
negative	I hate when he does this, har baar mujhe hi sunna padta hai 😡
negative	pareshaan mat karo mujhe abhi, please, I'm not in the mood
negative	exam mein fail ho gaya, sab log kya sochenge, main kya karun 😞
negative	stress se sar phat raha hai, kuch bhi nahi ho raha mujhse
negative	uska behaviour bahut ganda tha, I felt so insulted
negative	dar lag raha hai yaar, akele ghar mein, kuch awaz aa rahi hai
negative	yeh sab bakwaas hai, main aur nahi sun sakta, chup ho ja
negative	mummy se jhagda ho gaya, bahut bura feel ho raha hai 😔
neutral	kal subah 10 baje station pe milte hain, ticket main le lunga
neutral	bhai address bhej de, main pahunch ke call karta hoon
neutral	meeting 3 baje shift ho gayi hai, please note 🙏
neutral	ok bhai theek hai
neutral	main abhi ghar pe hoon, thodi der mein nikalta hoon
neutral	did you get the file I sent yesterday?
neutral	aaj ka match kitne baje shuru hoga?
neutral	dal chawal bana hai aur sabzi bhi, aana ho toh aa jao
neutral	bill kitna aaya, main UPI kar deta hoon
neutral	haan, maine dekha tha, par abhi time nahi hai
neutral	please share the location, we will reach in 20 minutes 👍
neutral	kya tum kal free ho?
neutral	office ka wifi password kya hai
neutral	I'll call you after lunch, abhi thoda busy hoon
neutral	train platform number 4 pe aayegi, 6:15 pm ko
neutral	haan bhai, kal milte hain phir
neutral	mera phone charge pe hai, 10 min mein reply karta hoon
neutral	the report is attached, kindly review and revert 🙏
neutral	tu kaun sa movie dekhna chahta hai, hindi ya english?
neutral	batao kya lena hai, market ja raha hoon
neutral	mausam ka kya haal hai udhar? yahan baarish ho rahi hai
neutral	uska number save kar liya hai, message bhej diya
neutral	class 9 baje se hai aur lab 2 baje se
neutral	okay noted, will do
neutral	maine ticket book kar di hai, screenshot bhej raha hoon
neutral	kal ki meeting ka agenda bhej dena please
neutral	gate pe wait kar raha hoon, tu kab tak aayega?
neutral	haan woh bol raha tha ki shaam tak ho jayega
neutral	Diwali pe ghar jaana hai, ticket dekh raha hoon
neutral	yeh wala plan kaisa rahega, aap log bataiye
neutral	sabzi mandi se aa raha hoon, kuch chahiye toh bol
neutral	aaj ka schedule yeh hai: 10 baje standup, 12 baje lunch, 3 baje review
neutral	pata nahi yaar, maine abhi tak nahi dekha
neutral	rent ka transfer ho gaya hai, check kar lena
neutral	can you send the notes from yesterday's lecture?
neutral	kal se naya semester shuru hoga, timetable aa gaya hai
neutral	ha bhai bol, kya scene hai
neutral	main bus mein hoon, network thoda weak hai
neutral	ek minute ruk, main aa ke batata hoon
neutral	dinner mein kya order karein? pizza ya biryani?
neutral	wo wala link dobara bhejna, khul nahi raha
neutral	server restart ho gaya hai, ab check karo
neutral	mujhe lagta hai woh kal tak aa jayega, confirm nahi hai
neutral	seat number 23 hai, window wali
neutral	kitne log aa rahe hain party mein? cake usi hisaab se lunga
neutral	hmm ok, dekhte hain
neutral	theek hai, main sunday ko free hoon
neutral	yeh document sign karke wapas bhej do
neutral	maine bola tha na, kal 5 baje, yaad hai?
neutral	arre chill, abhi toh sirf shuru hua hai
neutral	tune dekha kya, kal ka score kya raha?
neutral	wait, ek sec, main check karta hoon
neutral	dost ka phone aaya tha, woh kal ghar aa raha hai
positive	😂😂😂
positive	🔥🔥🔥
positive	🙌🙌
positive	❤️❤️
positive	😍😍😍
positive	👏👏👏
positive	🎉🎉
positive	🥳🥳
positive	😎🔥
positive	💯💯
positive	yesss 🙌🙌
positive	lets gooo 🔥🔥
positive	haha 😂😂 too good
positive	omg 😍 love this
positive	so cute 🥰
positive	congrats 🎉🎉🎉
positive	best day 😊
positive	mast plan 🔥
positive	chal done, sahi hai 😎
positive	thank you ❤️
positive	love you guys ❤️
positive	nice one 👏
positive	bhai kya baat 🔥🔥
positive	party tonight 🥳🥳
positive	aaj maza aaya 😄😄
positive	you're the best 😍
positive	proud of you 👏❤️
positive	hahaha 🤣🤣🤣
positive	go for it champ 💪🔥
positive	bahut badhiya 😁
negative	😡😡
negative	😤😤
negative	😢😢
negative	😞
negative	💔
negative	👎👎
negative	🤬🤬
negative	😩😩
negative	ugh so annoying 😤
negative	bahut gussa aa raha hai 😡
negative	worst service 👎
negative	mera dil toot gaya 💔
negative	kitna bura din 😞
negative	i'm done with this 😤
negative	so sad 😢😢
negative	mujhe rona aa raha hai 😢
negative	i hate this 😡
negative	nahi karna mujhe kuch 😒
negative	tumne jhooth bola 😠
negative	bekaar hai sab 🙄
negative	not okay at all 😔
negative	thak gaya hoon 😩
negative	sab galat ho gaya 😞
negative	seriously? 🙄🙄
negative	so disappointed 😔
negative	yeh kya bakwaas hai 😒
neutral	ok 👍
neutral	done 👍
neutral	haan bhai 👍
neutral	reached 🙏
neutral	please check 🙏
neutral	noted 👍
neutral	call me 📞
neutral	on my way 🚗
neutral	kal 5 baje 👍
neutral	meeting at 3 📅
neutral	send the file 🙏
neutral	ok noted 🙏
neutral	yes 👍
neutral	sure 👍
neutral	seen 👀
neutral	wait 🤔
neutral	kya hua 🤔
neutral	kahan hai tu 🤷
neutral	later 👋
neutral	share location 📍
neutral	ticket book kar di ✅
neutral	chalo phir 🚶
neutral	ok done ✅
neutral	tu aa raha hai kya 😅
neutral	bhai reply kar 🙏
neutral	dinner kahan karein 🍕
